2019-01-01T22:27:47.960-0200 I CONTROL  [main] ***** SERVER RESTARTED *****
2019-01-01T22:27:48.570-0200 I CONTROL  [main] Automatically disabling TLS 1.0, to force-enable TLS 1.0 specify --sslDisabledProtocols 'none'
2019-01-01T22:27:48.572-0200 I CONTROL  [main] Trying to install Windows service 'MongoDB'
2019-01-01T22:27:48.573-0200 I CONTROL  [main] There is already a service named 'MongoDB', sleeping and retrying
2019-01-01T22:28:20.247-0200 I CONTROL  [main] ***** SERVER RESTARTED *****
2019-01-01T22:28:20.881-0200 I CONTROL  [main] Automatically disabling TLS 1.0, to force-enable TLS 1.0 specify --sslDisabledProtocols 'none'
2019-01-01T22:28:20.884-0200 I CONTROL  [main] Trying to install Windows service 'MongoDB'
2019-01-01T22:28:20.885-0200 I CONTROL  [main] There is already a service named 'MongoDB', sleeping and retrying
2019-01-01T23:16:00.508-0200 I CONTROL  [main] ***** SERVER RESTARTED *****
2019-01-01T23:16:01.179-0200 I CONTROL  [main] Automatically disabling TLS 1.0, to force-enable TLS 1.0 specify --sslDisabledProtocols 'none'
2019-01-01T23:16:01.182-0200 I CONTROL  [main] Trying to install Windows service 'MongoDB'
2019-01-01T23:16:01.182-0200 I CONTROL  [main] There is already a service named 'MongoDB', sleeping and retrying
